hip	spect	ext	sigma_ext
9173	G8III/IV	-0.07	0.01
9182	K1III	-0.14	0.03
9186	G5V:	-0.25	0.03
9207	K0III	-0.02	0.00
9209	F3V	-0.05	0.00
9218	K5III:	-0.17	0.02
9227	K0III:	-0.17	0.01
9228	K0III:	-0.13	0.02
9234	M8III:	-1.09	0.01
9244	F0V:	-0.09	0.00
9252	G5V	-0.03	0.00
9271	G0V:	-0.14	0.02
9293	K5III:	-0.15	0.02
9300	M2III	-0.03	0.01
9306	M5-M7III:	-0.59	0.15
9313	K1III	-0.06	0.00
9318	K2III	-0.02	0.00
9350	K0III	-0.07	0.02
9362	K0II/III	-0.06	0.00
9372	M3III	-0.26	0.01
9401	F8V:	-0.06	0.02
9404	G8III	-0.18	0.00
9410	K0V:	-0.08	0.00
9440	G8III	-0.05	0.00
9447	G0V:	-0.11	0.03
9463	K7V:	-0.08	0.01
9466	G0V:	-0.05	0.00
9472	M5III	-0.17	0.02
9493	K1III	-0.10	0.01
9572	K0II/III	-0.06	0.00
9598	A2V	-0.05	0.01
9608	K2III	-0.12	0.01
9614	F5V:	-0.10	0.01
9622	K5Iab:	-0.01	0.00
9629	G8V	-0.02	0.00
9652	G8/K0III	-0.31	0.05
9677	B9.5V:	-0.11	0.02
9683	K0V:	-0.10	0.02
9718	K0III:	-0.04	0.01
9764	K8V:	-0.32	0.02
9766	F5V:	-0.20	0.02
9777	F8V:	-0.09	0.02
9784	G5V	-0.03	0.00
9797	K1III	-0.10	0.02
9809	M4III:	-0.08	0.01
9825	K1III	-0.08	0.01
9827	K0III:	-0.13	0.01
9837	G3V	-0.04	0.01
9855	G0V:	-0.11	0.02
9857	G5V:	-0.08	0.01
9864	K1III	-0.06	0.01
9870	G8III	-0.05	0.01
9884	K2III	-0.05	0.01
9889	F0V:	-0.05	0.02
9911	G2V	-0.01	0.00
9927	G5V:	-0.04	0.01
9944	G0V:	-0.08	0.00
9946	K0V:	-0.12	0.00
9957	G5V	-0.02	0.00
9973	K0III:	-0.06	0.02
9977	A5IV-V	-0.03	0.00
9978	K0III:	-0.16	0.02
10056	M0V:	-0.09	0.02
10064	A5III	-0.01	0.00
10066	F8V:	-0.07	0.02
10069	F0IV/V	-0.01	0.00
10082	G0V:	-0.05	0.02
10091	K1III/IV	-0.20	0.01
